GSM2-184.ctr |F|=39 1 37 0 18 18 12 36 9 22 16 31 8 3 4 3 12 17 29 36 5 36 5 36 38 33 14 11 4 11 13 19 12 12 19 31 30 21 28 29 32 33 21 29 37 25 32 10 4 12 35 37 37 29 35 36 23 38 8 16 10 22 35 22 23 5 14 14 26 4 32 19 37 14 38 24 29 31 23 33 32 8 20 31 37 16 28 11 15 26 27 25 37 24 37 21 18 12 24 5 5 18 13 32 32 12 17 22 33 30 5 26 38 26 7 26 31 25 37 36 12 14 11 10 27 9 20 6 22 5 0 16 23 14 9 6 15 16 17 9 35 12 25 34 38 21 10 19 7 8 16 19 12 28 18 0 26 38 35 37 5 35 15 17 10 24 23 15 29 30 13 25 3 27 10 30 10 20 10 17 18 27 26 30 5 Cmin= 1200004920 

GSM2-184.ctr |F|=39 0 33 35 20 25 29 8 20 33 2 29 17 36 6 3 0 38 29 17 22 6 12 14 7 29 8 24 36 23 5 1 23 27 25 33 13 5 2 33 38 32 12 16 29 7 19 30 34 9 36 17 4 37 32 11 27 29 24 13 13 29 3 37 17 29 31 30 34 22 13 33 16 14 0 34 10 8 14 6 7 1 12 11 38 5 12 16 24 36 29 37 16 33 24 33 12 5 14 7 17 16 29 33 31 18 28 30 27 32 36 34 33 10 34 32 4 35 37 28 22 28 16 38 11 29 21 23 35 35 19 13 13 37 35 33 17 13 24 33 6 22 17 28 21 1 11 14 37 9 4 20 37 9 8 37 38 29 10 23 26 29 25 28 17 21 22 23 24 7 17 30 18 34 9 28 35 20 4 22 29 36 31 17 6 Cmin= 900041184 

GSM2-184.ctr |F|=39 37 33 38 25 11 23 23 4 27 30 8 13 35 30 11 11 2 7 20 15 28 15 35 17 32 31 34 16 29 17 24 27 0 24 13 11 36 25 4 25 16 12 38 1 31 38 2 34 34 22 10 12 26 34 29 8 15 13 24 5 19 10 21 8 34 23 20 20 10 13 6 15 26 33 17 7 32 8 2 27 30 1 0 6 24 18 15 1 32 0 34 1 10 17 10 33 1 19 15 0 32 10 16 8 5 33 16 37 2 7 15 21 37 15 16 22 23 31 23 5 21 19 6 20 25 5 4 15 24 8 16 7 18 32 15 23 15 20 11 6 28 26 27 26 30 32 9 14 25 22 8 7 30 15 16 16 9 20 20 34 28 36 30 8 18 6 20 33 27 31 0 5 7 16 20 27 10 18 2 24 29 0 20 20 Cmin= 1700103818 

GSM2-184.ctr |F|=39 38 25 19 12 6 9 31 11 20 31 35 15 9 23 34 14 36 24 12 30 33 1 12 13 33 4 17 37 31 8 10 30 23 29 3 29 27 24 29 9 5 25 13 14 37 36 17 35 22 30 26 16 20 0 18 14 32 35 13 24 33 23 5 17 3 8 35 30 21 25 28 26 11 2 1 10 0 19 34 11 38 21 16 19 10 24 22 4 9 35 17 3 9 22 20 12 20 5 31 2 30 10 29 31 12 19 30 1 27 25 1 26 7 7 34 7 31 7 11 1 3 17 5 1 1 14 13 21 20 34 23 0 5 2 20 6 22 11 36 10 25 26 26 22 33 10 29 25 17 29 16 10 7 10 11 8 24 14 18 33 9 3 23 3 33 4 37 16 5 34 16 30 22 3 13 5 13 31 20 20 21 36 30 18 Cmin= 700038744 

GSM2-184.ctr |F|=39 0 17 7 22 16 11 31 30 26 33 20 14 5 34 10 6 26 9 9 33 30 18 18 23 35 12 1 34 34 5 36 23 12 5 6 28 5 27 8 31 21 29 34 16 24 33 11 0 3 20 23 22 27 2 6 24 15 35 8 10 30 34 33 3 28 29 20 33 17 28 14 27 7 37 4 21 31 4 10 34 14 33 17 2 36 12 15 12 36 13 11 16 8 5 19 36 34 28 19 12 7 33 29 14 31 22 35 23 27 7 7 2 29 13 32 26 14 9 27 11 22 38 28 19 5 36 16 28 26 35 30 33 18 20 36 10 3 33 22 30 29 29 32 8 31 26 35 6 24 12 17 35 12 6 15 6 32 20 34 19 5 25 2 23 6 38 22 10 21 33 29 0 23 23 9 4 38 33 10 12 6 27 8 7 Cmin= 1000085524 

